Query,#Results,Sample #0,Sample #1,Sample #2,Sample #3,Sample #4,Sample #5,Sample #6,Sample #7,Sample #8,Sample #9,Sample #10,Sample #11,Sample #12,Sample #13,Sample #14,Sample #15
S1,90,76,23,16,20,20,20,20,19,15,20,19,19,19,16,19,20
S2,1,10,5,5,5,4,5,5,6,5,4,4,5,4,5,5,4
S3,2,24,19,19,17,17,15,14,16,16,17,16,15,16,15,18,14
S4,1,11,8,8,7,6,7,7,6,6,7,6,5,6,5,6,5
S5,2,13,7,8,7,9,7,7,7,8,8,8,7,9,10,8,7
S6,11,122,117,92,93,86,80,92,149,89,84,74,173,76,76,75,83
S7,1,295,220,208,212,212,226,209,215,212,273,206,213,277,218,277,210
S8,1159,17,14,15,15,14,15,14,15,15,15,19,14,16,15,14,15
S9,333,31,26,22,22,23,22,24,21,22,21,21,22,23,22,22,22
S10,9054,2808,2647,2623,2808,2632,2806,2744,2738,2637,2715,2661,2651,2666,2630,2657,2639
S11,3,10,8,8,8,7,7,7,7,7,7,6,7,7,8,7,7
S12,393,729,554,597,552,596,571,604,604,657,607,651,603,600,600,605,604
S13,28,35,33,91,35,34,34,99,34,33,34,31,34,35,35,33,95
S14,1620,1920,1745,1731,1749,1738,2541,1824,1776,1788,1705,1758,1773,1705,1780,1753,1709
C1,1000,1673,1465,1588,1750,2514,1862,1623,1767,1876,1769,1748,1764,1489,1782,1413,1875
C2,4,972,960,1010,1392,1132,1038,950,945,950,956,929,1011,931,939,929,921
C3,9,253,216,219,214,224,232,219,215,227,220,218,221,220,211,214,217
C6,148,980,997,971,1764,1013,1008,962,965,1008,1007,1021,1807,1228,1040,939,1012
C7,112,122,87,132,87,88,93,87,88,89,93,90,92,89,87,86,88
C8,3073,962,851,912,837,851,917,827,829,846,834,830,849,841,845,826,824
C9,100,16615,16831,17770,16043,16936,17867,16107,16003,16023,16164,16155,15981,16173,16175,15956,16057
C10,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
